alpha,weighted_MAE,weighted_RMSE,validation_rows_total,residual_window_observations,cohort,source_team,model_code,tuning_pipeline,selected
1000.0,0.7974813880460522,1.1117371820733493,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,True
10000.0,0.7992106556627739,1.0978733440183863,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
100000.0,0.8103372180090879,1.1113702165790895,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
100.0,0.8106449648831747,1.1449629504568064,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
10.0,0.813161852036977,1.1509451791650354,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
1.0,0.8134587257584406,1.1515861374980443,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.1,0.8134885408131951,1.1516506856232516,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.01,0.8134915236012059,1.1516571449849629,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.001,0.8134918218928382,1.1516577909666523,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.0001,0.8134918517221296,1.1516578555652766,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
0.0,0.8134918550364969,1.1516578627429064,1796,28,Missingness-aware cohort,TeamA,P0,population prediction plus reset sequential residual adaptation,False
1000.0,0.7868540278608179,1.0999334765293522,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,True
10000.0,0.7915302009331855,1.0901827265842994,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
100000.0,0.8082250451871748,1.1083087720968057,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
100.0,0.8105089450971272,1.1272919948349587,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
10.0,0.8178192245418093,1.1343694712787682,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
1.0,0.8186901240105083,1.1351871419824524,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
0.1,0.8187787157943431,1.135270180816802,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
0.01,0.8187875841149634,1.1352784976198207,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
0.001,0.8187884710385714,1.1352793294295238,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
0.0001,0.8187885597318476,1.1352794126117884,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
0.0,2368321138833.4175,16241502893159.793,1796,28,Missingness-aware cohort,TeamA,P1m,population prediction plus reset sequential residual adaptation,False
1000.0,0.5654196482145513,0.9627259192465988,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,True
10000.0,0.5746339433587777,0.9574961960889699,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
100.0,0.5841157344429144,1.0171569777110145,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
100000.0,0.5843306904323352,0.9721330701080511,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
10.0,0.5886801744616752,1.0294594987156884,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
1.0,0.5891883231181071,1.0308208465862119,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.1,0.589241869969383,1.0309584048791864,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.01,0.5892472280828037,1.0309721750648386,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.001,0.5892477639284517,1.0309735522270898,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.0001,0.5892478175133595,1.0309736899447517,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.0,0.589247823467242,1.0309737052467305,1065,28,Missingness-aware cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
1000.0,0.575442823120767,0.9397178353986594,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,True
10000.0,0.5756398135624203,0.9524637879537009,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
100000.0,0.5844059162927067,0.9710663594198639,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
100.0,0.6248472854461501,0.9757206883761346,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
10.0,0.638652263392702,0.9877479952486001,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
1.0,0.6402618965829985,0.9891853275561142,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
0.1,0.6404256192771125,0.9893318362915238,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
0.01,0.6404421733044399,0.9893465154394466,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
0.001,0.6404438288850594,0.9893479836375131,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
0.0001,0.6404439944449004,0.9893481304601532,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
0.0,30132248141.8452,277564439957.2851,1065,28,Missingness-aware cohort,TeamB,P1m,population prediction plus reset sequential residual adaptation,False
